Collectivités territoriales,Population,region
Ghiata Al Gharbia,22437.0,Région de Fès-Meknès
Rbaa El Fouki,6156.0,Région de Fès-Meknès
Bni Frassen,19873.0,Région de Fès-Meknès
Rabat,509916.0,Région de Rabat-Salé-Kénitra
Touarga,5703.0,Région de Rabat-Salé-Kénitra
Salé,945101.0,Région de Rabat-Salé-Kénitra
Sidi Bouknadel,43598.0,Région de Rabat-Salé-Kénitra
Ameur,75942.0,Région de Rabat-Salé-Kénitra
Shoul,24913.0,Région de Rabat-Salé-Kénitra
Témara,297098.0,Région de Rabat-Salé-Kénitra
Harhoura,20950.0,Région de Rabat-Salé-Kénitra
Skhirate,122705.0,Région de Rabat-Salé-Kénitra
Ain El Aouda,98502.0,Région de Rabat-Salé-Kénitra
Ain Attig,73985.0,Région de Rabat-Salé-Kénitra
Mers El Kheir,26544.0,Région de Rabat-Salé-Kénitra
Sabbah,15552.0,Région de Rabat-Salé-Kénitra
El Menzeh,7168.0,Région de Rabat-Salé-Kénitra
Oumazza,4322.0,Région de Rabat-Salé-Kénitra
Sidi Yahya Zaer,116649.0,Région de Rabat-Salé-Kénitra
Kénitra,507736.0,Région de Rabat-Salé-Kénitra
Souk El Arbaa,70894.0,Région de Rabat-Salé-Kénitra
Mehdya,58558.0,Région de Rabat-Salé-Kénitra
Sidi Taibi,76227.0,Région de Rabat-Salé-Kénitra
Ameur Seflia,37935.0,Région de Rabat-Salé-Kénitra
Ouled Slama,23848.0,Région de Rabat-Salé-Kénitra
Haddada,22652.0,Région de Rabat-Salé-Kénitra
Mnasra,41434.0,Région de Rabat-Salé-Kénitra
Ben Mansour,53545.0,Région de Rabat-Salé-Kénitra
Sidi Mohamed Benmansour,24703.0,Région de Rabat-Salé-Kénitra
Mograne,36452.0,Région de Rabat-Salé-Kénitra
Arbaoua,35077.0,Région de Rabat-Salé-Kénitra
Oued El Makhazine,6264.0,Région de Rabat-Salé-Kénitra
Kariat Ben Aouda,11238.0,Région de Rabat-Salé-Kénitra
Beni Malek,28711.0,Région de Rabat-Salé-Kénitra
Sidi Allal Tazi,22266.0,Région de Rabat-Salé-Kénitra
Souk Tlet El Gharb,24190.0,Région de Rabat-Salé-Kénitra
Bahhara Ouled Ayad,38611.0,Région de Rabat-Salé-Kénitra
Sidi Mohamed Lahmar,52679.0,Région de Rabat-Salé-Kénitra
Moulay Bousselham,32643.0,Région de Rabat-Salé-Kénitra
Lalla Mimouna,35600.0,Région de Rabat-Salé-Kénitra
